OUT_OF_74,INDEX1,MATCH,TEAM,BatsMan,How_out,Fielder,Bowler,Runs,Balls,Fours,Sixers,OUT_NTOUT
1,1,CSK_RCB_1,RCB,Virat Kohli,Ct,Rachin R,Mustafizur R,21,20,0,1,1
1,2,CSK_RCB_1,RCB,Faf Du Plessis,Ct,Rachin R,Mustafizur R,35,23,8,0,1
1,3,CSK_RCB_1,RCB,Rajat Patidar,Ctw,M S D,Mustafizur R,0,3,0,0,1
1,4,CSK_RCB_1,RCB,Glenn Maxwell,Ctw,M S D,Deepak C,0,1,0,0,1
1,5,CSK_RCB_1,RCB,Cameron Green,B,,Mustafizur R,18,22,1,0,1
1,6,CSK_RCB_1,RCB,Anuj Rawat,Ro,M S D,,48,25,4,3,1
1,7,CSK_RCB_1,RCB,Dinesh Karthik,,,,38,26,3,2,0
1,8,CSK_RCB_1,CSK,Ruturaj Gaikwad,Ct,Cameron G,Yash D,15,15,3,0,1
1,9,CSK_RCB_1,CSK,Rachin Ravindra,Ct,Rajat P,Karn S,37,15,3,3,1
1,10,CSK_RCB_1,CSK,Ajinkya Rahane,Ct,Glenn M,Cameron G,27,19,0,2,1
1,11,CSK_RCB_1,CSK,Daryl Mitchell,Ct,Rajat P,Cameron G,22,18,0,2,1
1,12,CSK_RCB_1,CSK,Shivam Dube,,,,34,28,4,1,0
1,13,CSK_RCB_1,CSK,Ravindra Jadeja,,,,25,17,0,1,0
2,14,DC_PBKS_2,DC,David Warner,Ctw,Jitesh S,Harshal P,29,21,3,2,1
2,15,DC_PBKS_2,DC,Mitchell Marsh,Ct,Rahul C,Arshdeep S,20,12,2,2,1
2,16,DC_PBKS_2,DC,Shai Hope,Ct,Harpreet B,Kagiso R,33,25,2,2,1
2,17,DC_PBKS_2,DC,Rishabh Pant,Ct,Jonny B,Harshal P,18,13,2,0,1
2,18,DC_PBKS_2,DC,Ricky Bhui,Ctw,Jitesh S,Harpreet B,3,7,0,0,1
2,19,DC_PBKS_2,DC,Tristan Stubbs,Ct,Shashank S,Rahul C,5,8,0,0,1
2,20,DC_PBKS_2,DC,Axar Patel,Ro,Jitesh S,Substitute,21,13,2,1,1
2,21,DC_PBKS_2,DC,Sumit Kumar,Ctw,Jitesh S,Arshdeep S,2,9,0,0,1
2,22,DC_PBKS_2,DC,Abishek Porel,,,,32,10,4,2,0
2,23,DC_PBKS_2,DC,Kuldeep Yadav,Ro,Harshal P,Shashank S,1,2,0,0,1
2,24,DC_PBKS_2,PBKS,Shikhar Dhawan,B,,Ishant S,22,16,4,0,1
2,25,DC_PBKS_2,PBKS,Jonny Bairstow,Ro,,Ishant S,9,3,2,0,1
2,26,DC_PBKS_2,PBKS,Prabhsimran Singh,Ct,David W,Kuldeep Y,26,17,5,0,1
2,27,DC_PBKS_2,PBKS,Sam Curran,B,,Khaleel A,63,47,6,1,1
2,28,DC_PBKS_2,PBKS,Jitesh Sharma,St,Rishabh P,Kuldeep Y,9,9,1,0,1
2,29,DC_PBKS_2,PBKS,Liam Livingstone,,,,38,21,2,3,0
2,30,DC_PBKS_2,PBKS,Shashank Singh,Ctw,Rishabh P,Khaleel A,0,1,0,0,1
2,31,DC_PBKS_2,PBKS,Harpreet Brar,,,,2,2,0,0,0
3,32,KKR_SRH_3,KKR,Philip Salt,Ct,Marco J,Mayank M,54,40,3,3,1
3,33,KKR_SRH_3,KKR,Sunil Narine,Ro,,Shahbaz A,2,4,0,0,1
3,34,KKR_SRH_3,KKR,Venkatesh Iyer,Ct,Marco J,T N,7,5,1,0,1
