Source_Name_1,match1,TEAM,Bowler,Overs,Balls,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls,Index
4,LSG_RR_4,LSG,Mohsin Khan,4,24,0,45,1,1,0,0,8,1
4,LSG_RR_4,LSG,Naveen Ul-Haq,4,24,0,41,2,4,0,0,8,2
4,LSG_RR_4,LSG,Krunal Pandya,4,24,0,19,0,0,0,0,6,3
4,LSG_RR_4,LSG,Ravi Bishnoi,4,24,0,38,1,0,0,0,5,4
4,LSG_RR_4,LSG,Yash Thakur,3,18,0,43,0,1,1,0,3,5
4,LSG_RR_4,LSG,Ayush Badoni,1,6,0,6,0,0,0,0,1,6
4,LSG_RR_4,RR,Trent Boult,4,24,0,35,2,0,0,0,12,8
4,LSG_RR_4,RR,Nandre Burger,3,18,0,30,1,0,0,0,8,9
4,LSG_RR_4,RR,Ravichandran Ashwin,4,24,0,35,1,5,0,0,4,10
4,LSG_RR_4,RR,Avesh Khan,3,18,0,21,0,2,0,0,4,11
4,LSG_RR_4,RR,Yuzvendra Chahal,3,18,0,25,1,1,0,0,6,12
4,LSG_RR_4,RR,Sandeep Sharma,3,18,0,22,1,1,0,0,6,13
1,CSK_RCB_1,CSK,Deepak Chahar,4,24,0,37,1,2,0,0,10,28
1,CSK_RCB_1,CSK,Tushar Deshpande,4,24,0,47,0,6,0,0,10,29
1,CSK_RCB_1,CSK,Maheesh Theekshana,4,24,0,36,0,0,0,0,4,30
1,CSK_RCB_1,CSK,Mustafizur Rahman,4,24,0,29,4,2,0,0,12,31
1,CSK_RCB_1,CSK,Ravindra Jadeja,4,24,0,21,0,0,0,0,8,32
1,CSK_RCB_1,RCB,Mohammed Siraj,4,24,0,38,0,1,0,0,9,67
1,CSK_RCB_1,RCB,Yash Dayal,3,18,0,28,1,0,0,0,8,68
1,CSK_RCB_1,RCB,Alzarri Joseph,3.4,22,0,38,0,4,0,0,5,69
1,CSK_RCB_1,RCB,Karn Sharma,2,12,0,24,1,0,0,0,4,70
1,CSK_RCB_1,RCB,Mayank Dagar,2,12,0,6,0,0,0,0,6,71
1,CSK_RCB_1,RCB,Cameron Green,3,18,0,27,2,3,0,0,5,72
1,CSK_RCB_1,RCB,Glenn Maxwell,1,6,0,7,0,0,0,0,4,73
10,KKR_RCB_10,KKR,Mitchell Starc,4,24,0,47,0,1,0,0,7,110
10,KKR_RCB_10,KKR,Harshit Rana,4,24,0,39,2,1,0,0,6,111
10,KKR_RCB_10,KKR,Anukul Roy,2,12,0,6,0,0,0,0,7,112
10,KKR_RCB_10,KKR,Sunil Narine,4,24,0,40,1,0,0,0,6,113
10,KKR_RCB_10,KKR,Andre Russell,4,24,0,29,2,1,0,0,12,114
10,KKR_RCB_10,KKR,Varun Chakaravarthy,2,12,0,20,0,0,0,0,3,115
10,KKR_RCB_10,RCB,Mohammed Siraj,3,18,0,46,0,2,0,0,3,150
10,KKR_RCB_10,RCB,Yash Dayal,4,24,0,46,1,6,0,0,8,151
10,KKR_RCB_10,RCB,Alzarri Joseph,2,12,0,34,0,0,0,0,5,152
10,KKR_RCB_10,RCB,Mayank Dagar,2.5,17,0,23,1,0,0,0,6,153
10,KKR_RCB_10,RCB,Vijaykumar Vyshak,4,24,0,23,1,0,0,0,6,154
10,KKR_RCB_10,RCB,Cameron Green,1,6,0,7,0,0,0,0,2,155
11,LSG_PBKS_11,PBKS,Sam Curran,4,24,0,28,3,0,0,0,10,191
11,LSG_PBKS_11,PBKS,Arshdeep Singh,3,18,0,30,2,1,0,0,5,192
11,LSG_PBKS_11,PBKS,Kagiso Rabada,4,24,0,38,1,0,0,0,10,193
11,LSG_PBKS_11,PBKS,Rahul Chahar,3,18,0,42,1,0,0,0,1,194
11,LSG_PBKS_11,PBKS,Harpreet Brar,2,12,0,14,0,0,0,0,4,195
11,LSG_PBKS_11,PBKS,Harshal Patel,4,24,0,45,0,4,0,0,6,196
11,LSG_PBKS_11,LSG,Manimaran Siddharth,2,12,0,21,0,0,0,0,5,233
11,LSG_PBKS_11,LSG,Naveen Ul-Haq,4,24,0,43,0,1,0,0,5,234
11,LSG_PBKS_11,LSG,Mohsin Khan,4,24,0,34,2,1,0,0,10,235
11,LSG_PBKS_11,LSG,Krunal Pandya,3,18,0,26,0,0,0,0,5,236
11,LSG_PBKS_11,LSG,Ravi Bishnoi,3,18,0,25,0,0,0,0,7,237
11,LSG_PBKS_11,LSG,Mayank Yadav,4,24,0,27,3,0,0,0,12,238
12,GT_SRH_12,GT,Azmatullah Omarzai,3,18,0,24,1,1,0,0,9,276
12,GT_SRH_12,GT,Umesh Yadav,3,18,0,28,1,0,0,0,8,277
12,GT_SRH_12,GT,Rashid Khan,4,24,0,33,1,0,0,0,7,278
12,GT_SRH_12,GT,Noor Ahmad,4,24,0,32,1,0,0,0,10,279
12,GT_SRH_12,GT,Mohit Sharma,4,24,0,25,3,0,0,0,6,280
12,GT_SRH_12,GT,Darshan Nalkande,2,12,0,18,0,1,0,0,2,281
12,GT_SRH_12,SRH,Bhuvneshwar Kumar,4,24,0,27,0,1,0,0,9,318
12,GT_SRH_12,SRH,Shahbaz Ahmed,2,12,0,20,1,0,0,0,2,319
12,GT_SRH_12,SRH,Jaydev Unadkat,3.1,19,0,33,0,0,0,0,5,320
12,GT_SRH_12,SRH,Washington Sunder,3,18,0,27,0,0,0,0,1,321
12,GT_SRH_12,SRH,Mayank Markande,3,18,0,33,1,2,0,0,4,322
12,GT_SRH_12,SRH,Pat Cummins,4,24,0,28,1,1,0,0,7,323
13,CSK_DC_13,CSK,Deepak Chahar,4,24,0,42,0,0,0,0,9,359
13,CSK_DC_13,CSK,Tushar Deshpande,4,24,0,24,0,2,0,0,12,360
13,CSK_DC_13,CSK,Mustafizur Rahman,4,24,0,47,1,1,2,0,5,361
13,CSK_DC_13,CSK,Ravindra Jadeja,4,24,0,43,1,0,0,0,5,362
13,CSK_DC_13,CSK,Matheesha Prathirana,4,24,0,31,3,2,0,0,10,363
13,CSK_DC_13,DC,Khaleel Ahmed,4,24,1,21,2,4,0,0,15,397
13,CSK_DC_13,DC,Ishant Sharma,3,18,0,23,0,1,1,0,7,398
13,CSK_DC_13,DC,Anrich Nortje,4,24,0,43,0,1,0,0,7,399
